Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-05,02,,28 °C,—,26 °C,0 mm,—,,7.6 km/h,—,1006 hPa,89 %
2024-05-05,03,,28 °C,—,26 °C,0 mm,—,,1.8 km/h,—,1006 hPa,89 %
2024-05-05,04,,28 °C,—,26.9 °C,0 mm,—,,5.4 km/h,—,1006 hPa,94 %
2024-05-05,05,,29 °C,—,27 °C,0 mm,—,,3.6 km/h,—,1007 hPa,89 %
2024-05-05,06,,28 °C,—,26.9 °C,0.1 mm,—,,7.6 km/h,—,1008 hPa,94 %
2024-05-05,07,,30 °C,—,27 °C,0 mm,—,,7.6 km/h,—,1009 hPa,84 %
2024-05-05,08,,31 °C,—,26.9 °C,0 mm,—,,7.6 km/h,—,1010 hPa,79 %
2024-05-05,09,,33 °C,—,26.1 °C,0 mm,—,,5.4 km/h,—,1010 hPa,67 %
2024-05-05,10,,34 °C,—,24 °C,0.1 mm,—,,7.6 km/h,—,1009 hPa,56 %
2024-05-05,11,,35 °C,—,24 °C,3.4 mm,—,,5.4 km/h,—,1008 hPa,53 %
2024-05-05,12,,35 °C,—,23 °C,1 mm,—,,7.6 km/h,—,1008 hPa,50 %
2024-05-05,13,,30 °C,—,23.9 °C,2.5 mm,—,,29.5 km/h,—,1007 hPa,70 %
2024-05-05,14,,29 °C,—,27 °C,0 mm,—,,13 km/h,—,1006 hPa,89 %
2024-05-05,15,,28 °C,—,26 °C,0.3 mm,—,,13 km/h,—,1006 hPa,89 %
2024-05-05,16,,31 °C,—,26 °C,0 mm,—,,9.4 km/h,—,1006 hPa,75 %
2024-05-05,17,,31 °C,—,26 °C,0.3 mm,—,,9.4 km/h,—,1007 hPa,75 %
2024-05-05,18,,31 °C,—,26 °C,0.2 mm,—,,1.8 km/h,—,1008 hPa,75 %
2024-05-05,19,,28 °C,—,25 °C,0 mm,—,,7.6 km/h,—,1009 hPa,84 %
2024-05-05,20,,27 °C,—,26 °C,0 mm,—,,9.4 km/h,—,1009 hPa,94 %
2024-05-05,21,,28 °C,—,26 °C,0 mm,—,,1.8 km/h,—,1010 hPa,89 %
2024-05-05,22,,28 °C,—,26 °C,0 mm,—,,1.8 km/h,—,1010 hPa,89 %
2024-05-05,23,,28 °C,—,26 °C,0 mm,—,,5.4 km/h,—,1009 hPa,89 %
2024-05-06,00,,28 °C,—,26 °C,0 mm,—,,5.4 km/h,—,1009 hPa,89 %
2024-05-06,01,,28 °C,—,26 °C,0 mm,—,,3.6 km/h,—,1008 hPa,89 %
2024-05-06,02,,28 °C,—,26 °C,0 mm,—,,7.6 km/h,—,1008 hPa,89 %
2024-05-06,03,,28 °C,—,26 °C,0 mm,—,,3.6 km/h,—,1007 hPa,89 %
2024-05-06,04,,27 °C,—,26 °C,0 mm,—,,5.4 km/h,—,1008 hPa,94 %
2024-05-06,05,,27 °C,—,26 °C,0 mm,—,,3.6 km/h,—,1008 hPa,94 %
2024-05-06,06,,28 °C,—,26.9 °C,0 mm,—,,5.4 km/h,—,1009 hPa,94 %
2024-05-06,07,,29 °C,—,27 °C,0 mm,—,,7.6 km/h,—,1010 hPa,89 %
2024-05-06,08,,31 °C,—,28 °C,0 mm,—,,7.6 km/h,—,1011 hPa,84 %
2024-05-06,09,,33 °C,—,27 °C,0 mm,—,,11.2 km/h,—,1011 hPa,71 %
2024-05-06,10,,34 °C,—,24 °C,0 mm,—,,7.6 km/h,—,1010 hPa,56 %
2024-05-06,11,,36 °C,—,22.9 °C,0 mm,—,,11.2 km/h,—,1010 hPa,47 %
2024-05-06,12,,35 °C,—,23 °C,0 mm,—,,13 km/h,—,1009 hPa,50 %
2024-05-06,13,,35 °C,—,23 °C,0 mm,—,,14.8 km/h,—,1007 hPa,50 %
2024-05-06,14,,35 °C,—,24 °C,0 mm,—,,14.8 km/h,—,1007 hPa,53 %
2024-05-06,15,,36 °C,—,23.9 °C,0 mm,—,,20.5 km/h,—,1006 hPa,50 %
2024-05-06,16,,35 °C,—,24 °C,0 mm,—,,18.4 km/h,—,1006 hPa,53 %
2024-05-06,17,,34 °C,—,24 °C,0 mm,—,,24.1 km/h,—,1006 hPa,56 %
